area,metric,source_a,value_a,source_b,value_b,absolute_difference,comparison_status,authoritative_decision
Göltürkbükü,avg_google_rating,current_hotels_enriched_aggregate,4.4799999999999995,destination_intelligence_v1,4.48,8.881784197001252e-16,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Gümbet,avg_google_rating,current_hotels_enriched_aggregate,4.093333333333333,destination_intelligence_v1,4.0933,3.333333333266353e-05,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Gümüşlük,avg_google_rating,current_hotels_enriched_aggregate,4.506666666666666,destination_intelligence_v1,4.5067,3.3333333334439885e-05,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Gündoğan,avg_google_rating,current_hotels_enriched_aggregate,4.585714285714286,destination_intelligence_v1,4.5857,1.4285714286188522e-05,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Güvercinlik,avg_google_rating,current_hotels_enriched_aggregate,4.16,destination_intelligence_v1,4.16,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Kadıkalesi,avg_google_rating,current_hotels_enriched_aggregate,4.3,destination_intelligence_v1,4.3,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Ortakent-Yahşi,avg_google_rating,current_hotels_enriched_aggregate,4.295238095238095,destination_intelligence_v1,4.2952,3.809523809472637e-05,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Torba,avg_google_rating,current_hotels_enriched_aggregate,4.366666666666667,destination_intelligence_v1,4.3667,3.333333333266353e-05,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Turgutreis,avg_google_rating,current_hotels_enriched_aggregate,4.428571428571429,destination_intelligence_v1,4.4286,2.8571428571488866e-05,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Türkbükü,avg_google_rating,current_hotels_enriched_aggregate,4.45,destination_intelligence_v1,4.45,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Yalıkavak,avg_google_rating,current_hotels_enriched_aggregate,4.463636363636364,destination_intelligence_v1,4.4636,3.636363636427831e-05,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Akyarlar,median_google_rating,current_hotels_enriched_aggregate,4.4,eda_destination_profile,4.4,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Bitez,median_google_rating,current_hotels_enriched_aggregate,4.35,eda_destination_profile,4.35,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Bodrum Merkez,median_google_rating,current_hotels_enriched_aggregate,4.3,eda_destination_profile,4.3,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Göltürkbükü,median_google_rating,current_hotels_enriched_aggregate,4.45,eda_destination_profile,4.45,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Gümbet,median_google_rating,current_hotels_enriched_aggregate,4.0,eda_destination_profile,4.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Gümüşlük,median_google_rating,current_hotels_enriched_aggregate,4.5,eda_destination_profile,4.5,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Gündoğan,median_google_rating,current_hotels_enriched_aggregate,4.5,eda_destination_profile,4.5,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Güvercinlik,median_google_rating,current_hotels_enriched_aggregate,4.25,eda_destination_profile,4.25,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Kadıkalesi,median_google_rating,current_hotels_enriched_aggregate,4.35,eda_destination_profile,4.35,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Ortakent-Yahşi,median_google_rating,current_hotels_enriched_aggregate,4.3,eda_destination_profile,4.3,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Torba,median_google_rating,current_hotels_enriched_aggregate,4.4,eda_destination_profile,4.4,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Turgutreis,median_google_rating,current_hotels_enriched_aggregate,4.6,eda_destination_profile,4.6,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Türkbükü,median_google_rating,current_hotels_enriched_aggregate,4.45,eda_destination_profile,4.45,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Yalıkavak,median_google_rating,current_hotels_enriched_aggregate,4.45,eda_destination_profile,4.45,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Akyarlar,median_google_rating,current_hotels_enriched_aggregate,4.4,destination_intelligence_v1,4.4,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Bitez,median_google_rating,current_hotels_enriched_aggregate,4.35,destination_intelligence_v1,4.35,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Bodrum Merkez,median_google_rating,current_hotels_enriched_aggregate,4.3,destination_intelligence_v1,4.3,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Göltürkbükü,median_google_rating,current_hotels_enriched_aggregate,4.45,destination_intelligence_v1,4.45,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Gümbet,median_google_rating,current_hotels_enriched_aggregate,4.0,destination_intelligence_v1,4.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Gümüşlük,median_google_rating,current_hotels_enriched_aggregate,4.5,destination_intelligence_v1,4.5,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Gündoğan,median_google_rating,current_hotels_enriched_aggregate,4.5,destination_intelligence_v1,4.5,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Güvercinlik,median_google_rating,current_hotels_enriched_aggregate,4.25,destination_intelligence_v1,4.25,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Kadıkalesi,median_google_rating,current_hotels_enriched_aggregate,4.35,destination_intelligence_v1,4.35,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Ortakent-Yahşi,median_google_rating,current_hotels_enriched_aggregate,4.3,destination_intelligence_v1,4.3,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Torba,median_google_rating,current_hotels_enriched_aggregate,4.4,destination_intelligence_v1,4.4,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Turgutreis,median_google_rating,current_hotels_enriched_aggregate,4.6,destination_intelligence_v1,4.6,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Türkbükü,median_google_rating,current_hotels_enriched_aggregate,4.45,destination_intelligence_v1,4.45,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Yalıkavak,median_google_rating,current_hotels_enriched_aggregate,4.45,destination_intelligence_v1,4.45,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Akyarlar,total_google_reviews,current_hotels_enriched_aggregate,27426.0,eda_destination_profile,27426.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Bitez,total_google_reviews,current_hotels_enriched_aggregate,12354.0,eda_destination_profile,12354.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Bodrum Merkez,total_google_reviews,current_hotels_enriched_aggregate,18174.0,eda_destination_profile,18174.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Göltürkbükü,total_google_reviews,current_hotels_enriched_aggregate,6008.0,eda_destination_profile,6008.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Gümbet,total_google_reviews,current_hotels_enriched_aggregate,32519.0,eda_destination_profile,32519.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Gümüşlük,total_google_reviews,current_hotels_enriched_aggregate,4166.0,eda_destination_profile,4166.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Gündoğan,total_google_reviews,current_hotels_enriched_aggregate,6520.0,eda_destination_profile,6520.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Güvercinlik,total_google_reviews,current_hotels_enriched_aggregate,25239.0,eda_destination_profile,25239.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Kadıkalesi,total_google_reviews,current_hotels_enriched_aggregate,11520.0,eda_destination_profile,11520.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Ortakent-Yahşi,total_google_reviews,current_hotels_enriched_aggregate,9874.0,eda_destination_profile,9874.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Torba,total_google_reviews,current_hotels_enriched_aggregate,23707.0,eda_destination_profile,23707.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Turgutreis,total_google_reviews,current_hotels_enriched_aggregate,14095.0,eda_destination_profile,14095.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Türkbükü,total_google_reviews,current_hotels_enriched_aggregate,3670.0,eda_destination_profile,3670.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Yalıkavak,total_google_reviews,current_hotels_enriched_aggregate,9571.0,eda_destination_profile,9571.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Akyarlar,total_google_reviews,current_hotels_enriched_aggregate,27426.0,destination_intelligence_v1,27426.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Bitez,total_google_reviews,current_hotels_enriched_aggregate,12354.0,destination_intelligence_v1,12354.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Bodrum Merkez,total_google_reviews,current_hotels_enriched_aggregate,18174.0,destination_intelligence_v1,18174.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Göltürkbükü,total_google_reviews,current_hotels_enriched_aggregate,6008.0,destination_intelligence_v1,6008.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Gümbet,total_google_reviews,current_hotels_enriched_aggregate,32519.0,destination_intelligence_v1,32519.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Gümüşlük,total_google_reviews,current_hotels_enriched_aggregate,4166.0,destination_intelligence_v1,4166.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Gündoğan,total_google_reviews,current_hotels_enriched_aggregate,6520.0,destination_intelligence_v1,6520.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Güvercinlik,total_google_reviews,current_hotels_enriched_aggregate,25239.0,destination_intelligence_v1,25239.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Kadıkalesi,total_google_reviews,current_hotels_enriched_aggregate,11520.0,destination_intelligence_v1,11520.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Ortakent-Yahşi,total_google_reviews,current_hotels_enriched_aggregate,9874.0,destination_intelligence_v1,9874.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Torba,total_google_reviews,current_hotels_enriched_aggregate,23707.0,destination_intelligence_v1,23707.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Turgutreis,total_google_reviews,current_hotels_enriched_aggregate,14095.0,destination_intelligence_v1,14095.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Türkbükü,total_google_reviews,current_hotels_enriched_aggregate,3670.0,destination_intelligence_v1,3670.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Yalıkavak,total_google_reviews,current_hotels_enriched_aggregate,9571.0,destination_intelligence_v1,9571.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Akyarlar,median_google_reviews,current_hotels_enriched_aggregate,1056.0,eda_destination_profile,1056.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Bitez,median_google_reviews,current_hotels_enriched_aggregate,624.0,eda_destination_profile,624.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Bodrum Merkez,median_google_reviews,current_hotels_enriched_aggregate,1575.0,eda_destination_profile,1575.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Göltürkbükü,median_google_reviews,current_hotels_enriched_aggregate,318.0,eda_destination_profile,318.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Gümbet,median_google_reviews,current_hotels_enriched_aggregate,1489.0,eda_destination_profile,1489.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Gümüşlük,median_google_reviews,current_hotels_enriched_aggregate,276.0,eda_destination_profile,276.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Gündoğan,median_google_reviews,current_hotels_enriched_aggregate,275.0,eda_destination_profile,275.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Güvercinlik,median_google_reviews,current_hotels_enriched_aggregate,1082.5,eda_destination_profile,1082.5,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Kadıkalesi,median_google_reviews,current_hotels_enriched_aggregate,2683.0,eda_destination_profile,2683.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Ortakent-Yahşi,median_google_reviews,current_hotels_enriched_aggregate,261.0,eda_destination_profile,261.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Torba,median_google_reviews,current_hotels_enriched_aggregate,372.0,eda_destination_profile,372.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Turgutreis,median_google_reviews,current_hotels_enriched_aggregate,1608.0,eda_destination_profile,1608.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Türkbükü,median_google_reviews,current_hotels_enriched_aggregate,537.0,eda_destination_profile,537.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Yalıkavak,median_google_reviews,current_hotels_enriched_aggregate,296.0,eda_destination_profile,296.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Akyarlar,median_google_reviews,current_hotels_enriched_aggregate,1056.0,destination_intelligence_v1,1056.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Bitez,median_google_reviews,current_hotels_enriched_aggregate,624.0,destination_intelligence_v1,624.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Bodrum Merkez,median_google_reviews,current_hotels_enriched_aggregate,1575.0,destination_intelligence_v1,1575.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Göltürkbükü,median_google_reviews,current_hotels_enriched_aggregate,318.0,destination_intelligence_v1,318.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Gümbet,median_google_reviews,current_hotels_enriched_aggregate,1489.0,destination_intelligence_v1,1489.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Gümüşlük,median_google_reviews,current_hotels_enriched_aggregate,276.0,destination_intelligence_v1,276.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Gündoğan,median_google_reviews,current_hotels_enriched_aggregate,275.0,destination_intelligence_v1,275.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Güvercinlik,median_google_reviews,current_hotels_enriched_aggregate,1082.5,destination_intelligence_v1,1082.5,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Kadıkalesi,median_google_reviews,current_hotels_enriched_aggregate,2683.0,destination_intelligence_v1,2683.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Ortakent-Yahşi,median_google_reviews,current_hotels_enriched_aggregate,261.0,destination_intelligence_v1,261.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Torba,median_google_reviews,current_hotels_enriched_aggregate,372.0,destination_intelligence_v1,372.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Turgutreis,median_google_reviews,current_hotels_enriched_aggregate,1608.0,destination_intelligence_v1,1608.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Türkbükü,median_google_reviews,current_hotels_enriched_aggregate,537.0,destination_intelligence_v1,537.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Yalıkavak,median_google_reviews,current_hotels_enriched_aggregate,296.0,destination_intelligence_v1,296.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; V1 hotel metrics are a consistency reference.
Akyarlar,price_observation_n,current_hotels_enriched_aggregate,12.0,eda_destination_profile,12.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Bitez,price_observation_n,current_hotels_enriched_aggregate,18.0,eda_destination_profile,18.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Bodrum Merkez,price_observation_n,current_hotels_enriched_aggregate,13.0,eda_destination_profile,13.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Göltürkbükü,price_observation_n,current_hotels_enriched_aggregate,10.0,eda_destination_profile,10.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Gümbet,price_observation_n,current_hotels_enriched_aggregate,15.0,eda_destination_profile,15.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Gümüşlük,price_observation_n,current_hotels_enriched_aggregate,13.0,eda_destination_profile,13.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Gündoğan,price_observation_n,current_hotels_enriched_aggregate,14.0,eda_destination_profile,14.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Güvercinlik,price_observation_n,current_hotels_enriched_aggregate,8.0,eda_destination_profile,8.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
Kadıkalesi,price_observation_n,current_hotels_enriched_aggregate,3.0,eda_destination_profile,3.0,0.0,CONSISTENT,Use current hotels_enriched aggregate; previous EDA is a consistency reference.
